Thu Jul 10 23:50:00 2025    results.prof

         2014028 function calls (1980186 primitive calls) in 77.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5935    0.133    0.000    1.084    0.000 /usr/lib/python3.10/re.py:197(search)
     1277    1.034    0.001    1.034    0.001 {method 'decode' of 'ImagingDecoder' objects}
   112648    0.885    0.000    0.986    0.000 {built-in method builtins.isinstance}
     1028    0.016    0.000    0.961    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
   129497    0.956    0.000    0.956    0.000 {method 'lstrip' of 'str' objects}
 2585/345    0.346    0.000    0.955    0.003 /usr/lib/python3.10/sre_compile.py:87(_compile)
     1308    0.183    0.000    0.949    0.001 /usr/lib/python3.10/inspect.py:2280(_signature_from_function)
        1    0.001    0.001    0.948    0.948 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/lib/__init__.py:1(<module>)
     1028    0.053    0.000    0.943    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
       73    0.006    0.000    0.939    0.013 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/PIL/Image.py:2210(resize)
       24    0.002    0.000    0.924    0.039 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_util.py:365(decorator)
       14    0.001    0.000    0.923    0.066 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/_docstring.py:73(__missing__)
       73    0.917    0.013    0.917    0.013 {method 'resize' of 'ImagingCore' objects}
        1    0.002    0.002    0.905    0.905 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/axes/_axes.py:67(Axes)
   121312    0.902    0.000    0.902    0.000 {method 'startswith' of 'str' objects}
       31    0.087    0.003    0.895    0.029 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/__init__.py:884(_rc_params_in_file)
       71    0.026    0.000    0.874    0.012 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/PIL/Image.py:2469(save)
        1    0.000    0.000    0.820    0.820 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/signal/_ltisys.py:1(<module>)
     1306    0.147    0.000    0.816    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.812    0.812 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/_fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.804    0.804 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/interpolate/__init__.py:1(<module>)
        1    0.000    0.000    0.796    0.796 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/pyparsing/__init__.py:1(<module>)
        1    0.000    0.000    0.776    0.776 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:1(<module>)
     1886    0.196    0.000    0.755    0.000 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:67(read_to_condition)
      857    0.067    0.000    0.749    0.001 <frozen importlib._bootstrap_external>:950(get_code)
      401    0.079    0.000    0.737    0.002 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_util.py:593(getfullargspec_no_self)
    97295    0.730    0.000    0.730    0.000 {built-in method builtins.min}
  532/452    0.010    0.000    0.726    0.002 /usr/lib/python3.10/typing.py:306(inner)
        1    0.000    0.000    0.705    0.705 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/lib/_index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.700    0.700 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/interpolate/_interpolate.py:1(<module>)
       65    0.029    0.000    0.688    0.011 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:660(_save)
        1    0.000    0.000    0.685    0.685 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/interpolate/_fitpack_py.py:1(<module>)
        1    0.000    0.000    0.674    0.674 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/interpolate/_bsplines.py:1(<module>)
        1    0.000    0.000    0.671    0.671 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/matrixlib/__init__.py:1(<module>)
        1    0.000    0.000    0.668    0.668 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/optimize/__init__.py:1(<module>)
1029/1018    0.040    0.000    0.668    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.667    0.667 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/matrixlib/defmatrix.py:1(<module>)
        1    0.000    0.000    0.664    0.664 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/linalg/__init__.py:1(<module>)
       71    0.077    0.001    0.658    0.009 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/PIL/ImageFile.py:624(_save)
        1    0.001    0.001    0.657    0.657 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/linalg/_linalg.py:1(<module>)
     8949    0.295    0.000    0.635    0.000 /usr/lib/python3.10/inspect.py:2637(__init__)
    82682    0.626    0.000    0.629    0.000 {built-in method builtins.getattr}
      200    0.007    0.000    0.613    0.003 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/pyplot.py:176(_copy_docstring_and_deprecators)
     1411    0.035    0.000    0.608    0.000 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:77(read_to_next_empty_line)
        1    0.000    0.000    0.606    0.606 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/_typing/__init__.py:1(<module>)
        1    0.001    0.001    0.598    0.598 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_morestats.py:1(<module>)
        1    0.000    0.000    0.596    0.596 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/rcsetup.py:272(validate_backend)
        1    0.000    0.000    0.596    0.596 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/backends/registry.py:202(is_valid_backend)
        1    0.000    0.000    0.596    0.596 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/backends/registry.py:113(_ensure_entry_points_loaded)
        1    0.000    0.000    0.596    0.596 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/backends/registry.py:128(_read_entry_points)
        1    0.000    0.000    0.589    0.589 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/projections/geo.py:1(<module>)
        1    0.000    0.000    0.569    0.569 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/linalg/_sketches.py:1(<module>)
        1    0.001    0.001    0.550    0.550 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_discrete_distns.py:1(<module>)
       71    0.027    0.000    0.549    0.008 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/PIL/ImageFile.py:652(_encode_tile)
       21    0.001    0.000    0.539    0.026 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_distn_infrastructure.py:3292(__init__)
        1    0.000    0.000    0.536    0.536 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_new_distributions.py:1(<module>)
        2    0.001    0.000    0.532    0.266 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_distribution_infrastructure.py:1256(_combine_docs)
      132    0.010    0.000    0.527    0.004 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_distn_infrastructure.py:740(_construct_argparser)
        1    0.000    0.000    0.526    0.526 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/sparse/__init__.py:1(<module>)
      143    0.039    0.000    0.523    0.004 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:224(_parse_param_list)
      392    0.011    0.000    0.522    0.001 /usr/lib/python3.10/logging/__init__.py:2130(info)
     7109    0.167    0.000    0.516    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      392    0.020    0.000    0.508    0.001 /usr/lib/python3.10/logging/__init__.py:1467(info)
      100    0.004    0.000    0.506    0.005 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/pyplot.py:209(_add_pyplot_note)
        1    0.000    0.000    0.505    0.505 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/offsetbox.py:1(<module>)
        4    0.003    0.001    0.492    0.123 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:626(__init__)
      392    0.014    0.000    0.484    0.001 /usr/lib/python3.10/logging/__init__.py:1600(_log)
       94    0.019    0.000    0.473    0.005 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/__init__.py:1447(_preprocess_data)
     1483    0.151    0.000    0.465    0.000 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:168(_is_at_section)
        1    0.000    0.000    0.456    0.456 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/style/__init__.py:1(<module>)
        1    0.000    0.000    0.452    0.452 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/style/core.py:1(<module>)
        1    0.000    0.000    0.452    0.452 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/axis.py:1(<module>)
    19386    0.294    0.000    0.443    0.000 /usr/lib/python3.10/sre_parse.py:165(__getitem__)
      984    0.020    0.000    0.436    0.000 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:1536(is_alias)
        2    0.002    0.001    0.435    0.217 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/style/core.py:198(read_style_directory)
       65    0.428    0.007    0.428    0.007 {method 'encode_to_file' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.425    0.425 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/projections/polar.py:1(<module>)
     1029    0.087    0.000    0.420    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
