Thu Jul 10 07:49:21 2025    results.prof

         4680484 function calls (4609963 primitive calls) in 79.901 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4906    0.138    0.000    1.566    0.000 /usr/lib/python3.10/posixpath.py:377(abspath)
        1    0.000    0.000    1.537    1.537 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/geometry/point.py:1(<module>)
      477    0.011    0.000    1.535    0.003 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/core/basic.py:212(__init_subclass__)
      478    0.676    0.001    1.524    0.003 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/core/assumptions.py:614(_prepare_class_assumptions)
        1    0.000    0.000    1.523    1.523 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/geometry/entity.py:1(<module>)
        1    0.000    0.000    1.504    1.504 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/special/_support_alternative_backends.py:1(<module>)
        1    0.000    0.000    1.502    1.502 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/patches.py:1(<module>)
        1    0.000    0.000    1.501    1.501 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_array_api.py:1(<module>)
      444    0.014    0.000    1.475    0.003 /usr/lib/python3.10/sre_compile.py:622(_code)
        1    0.000    0.000    1.472    1.472 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/quantization/__init__.py:1(<module>)
        1    0.000    0.000    1.469    1.469 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/mpl_toolkits/mplot3d/__init__.py:1(<module>)
        1    0.000    0.000    1.465    1.465 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/array_api_compat/numpy/__init__.py:1(<module>)
        1    0.000    0.000    1.465    1.465 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:1(<module>)
        1    0.000    0.000    1.457    1.457 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/utils/_triton.py:6(has_triton_package)
        1    0.000    0.000    1.451    1.451 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/triton/__init__.py:1(<module>)
    22057    0.464    0.000    1.451    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
